# Server version 0.08 running on ppl-1.CS.McGill.CA:8123
# Game ID: 5
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 1000
# First Move Timeout: 30000
# Date: Mon Mar 20 16:07:46 EDT 2017
# Player 1: Player-0, 'GreedyPlayer', running on ppl-1.CS.McGill.CA
# Player 2: Player-1, 'xxxxxxxxx', running on ppl-1.CS.McGill.CA
START Player-0 GreedyPlayer
START Player-1 xxxxxxxxx
PIT 0 0
PIT 1 0
PIT 0 5
PIT 1 4
PIT 0 4
PIT 1 3
PIT 0 4
PIT 1 1
PIT 0 0
PIT 1 3
PIT 0 1
PIT 1 2
PIT 0 0
PIT 0 1
PIT 1 5
PIT 0 4
PIT 0 3
PIT 1 3
PIT 0 2
PIT 1 5
PIT 1 3
PIT 1 2
PIT 1 3
GAMEOVER WINNER 1         Player-0 score: 30  Player-1 score: 42
# Game ended: Mon Mar 20 16:07:50 EDT 2017
